BHL Image,BHL Common Name,BHL Scientific Name,Plate Number,SAAM Image,Similarity,SAAM Title,SAAM Date,SAAM markings,Match Validation
42667925,Fringed Polygala,Polygala paucifolia,135,SAAM-1970.355.473_2,0.7808331,Fringed Polygala (Polygala paucifolia),1920,"lower left in watercolor: M. V. W./5.16.1920. 
back lower right in pencil: Polygala paucifolia/1970.355.473",Not Match
42667927,Squirrelcorn,Bicuculla canadensis,136,SAAM-1970.355.474_2,0.9195357,Squirrel Corn (Bikukulla canadensis),1920,"lower right in watercolor: M. V. W./5.4.1920
back lower right in pencil: Squirrel corn/Bikukulla/canadensis",Match
42667929,Red Maple,Acer rubrum,137,SAAM-1970.355.475_2,0.94525605,Red Maple (Acer rubrum),1920,lower right in watercolor: M. V. W./Spring Lake/4.1.1920-,Match
42667931,Carolina Maple,Acer carolinianum,138,SAAM-1970.355.476_2,0.9339026,Carolina Maple (Acer carolinianum),1923,"lower left in watercolor: M. V. W./Beaufort/3.15.1923 
back lower right in pencil: #138",Match
42667933,Longleaf Pine,Pinus palustris,139,SAAM-1970.355.477_2,0.96538734,Longleaf Pine (Pinus palustris),1929,"lower right in watercolor: M. V. W./Beaufort S.C./R D '2 (illegible)
back in pencil: 139",Match
42667935,Fringetree,Chionanthus virginicus,140,SAAM-1970.355.478_2,0.92225826,Fringe Tree (Chionanthus virginica),1922,lower left in watercolor: M. V. W./Washington/1922.,Match
42667937,American Columbine,Aquilegia canadensis,141,SAAM-1970.355.479_2,0.9405073,American Columbine (Aquilegia canadensis),1919,"lower right in watercolor: Washington/4.23.1919
back lower center in pencil: Aquilegia canadensis #141",Match
42667939,Southern Coast Violet,Viola septemloba,142,SAAM-1970.355.480_2,0.84052193,Southern Coast Violet (Viola septemloba),1919,"lower right in watercolor: 3.31.1919.
back lower left in pencil: Viola septemloba",Match
42667941,Mayapple,Podophyllum peltatum,143,SAAM-1970.355.481_2,0.9547879,Mayapple (Podphyllum paltatum),1922,lower left in watercolor: M. V. W./6  5.4.1922.,Match
42667943,Wood Merybells,Uvularia perfoliata,144,SAAM-1970.355.482_2,0.9488727,Wood Merrybells (Uvularia perfoliata),n.d.,,Match
42667945,Goldenstar,Chrysogonum virginianum,145,SAAM-1970.355.483_2,0.9111461,Golden Star (Chrysogonum virginianum),1922,lower left in watercolor: M. V. W./5.14.1922/9,Match
42667947,Highbush Blackberry,Rubus argutus,146,SAAM-1970.355.484_2,0.8250998,Highbush Blackberry (Rubus argutus),1919,"lower right corner in watercolor: M. V. W./5.26.1919.
back lower left in pencil: Rubus argutus",Match
42667949,Cowposion,Chamaecrista nictitans,147,SAAM-1970.355.485_2,0.9004928,Crowpoison (Chrosperma muscaetoxicum),1921,"lower right in watercolor: M. V. W./1921
lower left in watercolor: Wash'n",Match
42667951,Canada Lily,Lilium canadense,148,SAAM-1970.355.486_2,0.9673989,Canada Lily (Lilium canadense),1878,lower center in watercolor: (illegible) M. V./7.13.1878.,Match
42667953,American Wisteria,Kraunhia frutescens,149,SAAM-1970.355.487_2,0.93659616,American Wisteria (Kraunhia frutescens),1925,lower left in watercolor: M. V. W./Beaufort-4.17.1925-,Match
42667955,Curly Clematis,Clematis crispa,150,SAAM-1970.355.488_2,0.89878386,Curly Clematis (Clematis crispa),1925,"lower left in watercolor: M. V. W./Beaufort/4.10.25 
back lower right: 150",Match
42667957,Western Yarrow,Achillea lanulosa,151,SAAM-1970.355.489_2,0.9253359,Western Yarrow (Achillea lanulosa),1922,lower left in watercolor: M. V. W./Red Deer Camp/12  8.16.1922.,Match
42667959,Tampa Epidendrum,Epidendrum tampense,152,SAAM-1970.355.490_2,0.93442667,Tampa Epidendrum (Epidendrum tampense),1919,lower left in watercolor: M. V. W./6.21 1919.,Match
42667961,Tillandsia,Tillandsia fasciculata,153,SAAM-1970.355.491_2,0.9369386,Wild Pineapple (Tillandsia fasciculata),1921,"lower left in watercolor: M. V. W./5.26.1921.
back lower right in pencil: #153/#153",Match
42667963,Spiderlily,Hymenocallis rotata,154,SAAM-1970.355.492_2,0.87624735,Spider Lily (Hymenocallis rotata),1919,lower right in watercolor: M. V. W/10.23.1919.,Match
42667965,Lloyds Strawberry-cactus,Echinocereus lloydii,155,SAAM-1970.355.493_2,0.9303141,Lloyd's Strawberry Cactus (Echinocereus lloydii),1925,"lower left in watercolor: M. V. W./4.22.1925 
back lower right in pencil: Lloyd's Strawberry Cactus/#155",Match
42667967,Ghostpipe,Thaleia uniflora,156,SAAM-1970.355.494_2,0.7934884,Ghostpipe (Thalesia uniflora),1920,lower right in watercolor: M. V. W./5.29:20,Not Match
42667969,Pale Pinesap,Hypopitys americana,157,SAAM-1970.355.495_2,0.81849396,Pale Pinesap (Hypopitys americana),1918,lower left in watercolor: Washington/6.16.1918.,Match
42667971,Arum Arrowhead,Sagittaria cuneata,158,SAAM-1970.355.496_2,0.91350865,Arum Arrowhead (Sagittaria cuneata),1923,lower left in watercolor: M. V. W./24.8.21.1923,Match
42667973,Spatterdock,Nymphaea advena,159,SAAM-1970.355.312_1,0.54218084,Dutchman's Pipe,1934,lower right in watercolor: M. V. W./Gatlinburg/6.15 '34,Not Match
42667975,Pineland Aster,Aster squarrosus,160,SAAM-1970.355.498_2,0.90936947,Pineland Aster (Aster squarrosus),1922,lower left in watercolor: M. V. W./11.4.1922.,Match
42669167,Showy Orchis,Orchis spectabilis,241,SAAM-1970.355.579_1,0.90623295,Showy Orchis (Orchis spectabilis),1926,lower left in watercolor: M. V. W./Washington/5.13.'26,Match
42669169,Rosebud Orchid,Pogonia divaricata,242,SAAM-1970.355.580_1,0.909534,Rosebud Orchid (Pogonia divaricata),1926,lower left in watercolor: M. V. W./5.19.1926.,Match
42669171,Large Purple Fringe-orchid,Habenaria grandiflora,243,SAAM-1970.355.581_2,0.9011375,Large Purple Fringe-Orchid (Habenaria grandiflora),1926,lower left in watercolor: M. V. W./S. W. Harbor/4.17.1926.,Match
42669173,Franklinia,Franklinia alatamaha,244,SAAM-1970.355.670_2,0.57190895,Virginia Stewartia (Stewartia malachodendron),1925,"lower left in watercolor: M. V. W./5.8.1925
back lower center in pencil: 333/Stuartia",Not Match
42669175,Blue Phlox,Phlox divaricata,245,SAAM-1970.355.583_1,0.8780562,Blue Phlox (Phlox divaricata),1917,"lower left in watercolor: Great Falls/5.19.1917
back lower right in pencil: 245
",Match
42669177,Blue-eyed-mary,Collinsia verna,246,SAAM-1970.355.584_1,0.9134159,Blue-Eyed Mary (Collinsia verna),1927,lower left in watercolor: M. V. W./Washington/12  5.3.'27,Match
42669179,Dutchmans-breeches,Bicuculla cucullaria,247,SAAM-1970.355.585_1,0.949062,Dutchman's Breetches (Bikukulla cucullaria),1925,"lower right in watercolor: M. V. W./1925
back lower right in pencil: 5",Match
42669181,Peatpink,Silene caroliniana,248,SAAM-1970.355.586_1,0.9144206,Peatpink (Silene caroliniana),1917,"lower left in watercolor: Great Falls/5.20.1917.
back lower right in pencil: I",Match
42669183,Cut Toothwort,Dentaria laciniata,249,SAAM-1970.355.587_1,0.88174564,Cut Toothwort (Dentaria laciniata),1918,lower right in watercolor: Washington/4.15.1918.,Match
42669185,Sweet Pitcherplant,Sarracenia rubra,250,SAAM-1970.355.588_1,0.82236266,Sweet Pitcherplant (Sarracenia rubra),1920,lower left in watercolor: M. V. W./5.29.1920.(underlined),Match
42669187,Hooded Pitcherplant,Sarracenia minor,251,SAAM-1970.355.589_2,0.9284074,Hooded Pitcherplant (Sarracenia minor),1925,"lower left in watercolor: M. V. W./5.11.1925.
back upper left in pencil: Hooded Pitcherplant/surracenia (sic) minor/Beaufort S. C.",Match
42669189,Bowmanstroot,Porteranthus trifoliatus,252,SAAM-1970.355.590_1,0.88303787,Bowmansroot (Porteranthus trifoliatus),1919,lower right in watercolor: M. V. W./6.9.1919.,Match
42669191,Pinkshell Azalea,Azalea vaseyi,253,SAAM-1970.355.591_1,0.91628635,Pinkshell Azalea (Azalea vaseyi),1925,lower left in watercolor: M. V. W./H (illegible).30.1925.,Match
42669193,Rosebay Rhododendron,Rhododendron maximum,254,SAAM-1970.355.592_2,0.9345075,Rosebay Rhododendron (Rhododendron maximum),1926,lower left in watercolor: M. V. W./7.5.1926,Match
42669195,Atamasco-lily,Atamosco atamasco,255,SAAM-1970.355.593_2,0.9366949,Atamasco-Lily (Atamosco atamasco),1925,lower left in watercolor: M. V. W./Beaufort S. C./4.6.25,Match
42669197,Turkscap Lily,Lilium superbum,256,SAAM-1970.355.409_2,0.6722806,Glacierlily (Erythronium grandiflorum),1899,"lower left in watercolor: M. M. V./Glacier/8/9 '99
lower right in watercolor: Mt. Avalanche",Not Match
42669199,Orange Polygala,Polygala lutea,257,SAAM-1970.355.595_1,0.9078001,Orange Polygala (Polygala lutea),1926,lower left in watercolor: M. V. W./6.6.1926,Match
42669201,Red-helmet,Pedicularis bracteosa,258,SAAM-1970.355.596_1,0.924554,Red-Helmet (Pedicularis bracteosa),1924,"lower right in watercolor: M. V. W./Baker Lake/8.2.1924  8
upper left in pencil: 258",Match
42669203,Turtledock,Colocasia globra,259,SAAM-1970.355.597_1,0.95293283,Turtlehead (Chelone glabra),1926,"lower left in watercolor: M. V. W./Mt Desert/8.24.'26
back center in pencil: 2",Match
42669205,Scarlet Elder,Sambucus pubens,260,SAAM-1970.355.598_1,0.9364722,Scarlet Elder (Sambucus pubens),1922,lower left in watercolor: M. V. W./Glacier/15  9.6.1922,Match
42669207,Crossvine,Anisostichus capreolatus,261,SAAM-1970.355.599_2,0.9640817,Crossvine (Anisostichus capreolatus),1925,upper left in watercolor: M. V. W. 4.10.1925/Beaufort,Match
42669209,Indianpipe,Monotropa uniflora,262,SAAM-1970.355.600_2,0.850402,Indian Pipe (Monotropa uniflora),1926,lower left in watercolor: M. V. W./S. W. Harbor/8.13.1926.,Match
42669211,Cardinalflower,Lobelia cardinalis,263,SAAM-1970.355.748_2,0.64681435,(Untitled--Flower Study),1876,center in watercolor: MMV/Newport/9.25.1876,Not Match
42669213,Zenobia,Zenobia cassinifolia (Ventenant),264,SAAM-1970.355.602_2,0.88885343,Zenobia (Zenobia cassinifolia),1927,"lower left in watercolor: M. V. W./6.10.1927 
back lower right in pencil: 1",Match
42669215,American Mistletoe,Phoradendron flavescens (Pursch),265,SAAM-1970.355.603_2,0.8657106,American Mistletoe (Phoradendron flavescens),1923,"lower right in watercolor: M. V. W./1.2.1923 
lower left in watercolor: 1 
back lower right in pencil: 1",Match
42669217,American Holly,Ilex opaca,266,SAAM-1970.355.564_2,0.5928001,Yaupon (Ilex vomitoria),1926,lower left in watercolor: M. V. W/Beaufort/2  3.16.1926.,Not Match
42669219,Mountain Hemlock,Tsuga mertensiana (Bongard),267,SAAM-1970.355.605_2,0.9656998,Mountain Hemlock (Tsuga mertensiana),1923,lower right in watercolor: M. V. W./Glacier/9.8.1923  .30,Match
42669221,Western Hemlock,Tsuga heterophylla (Rafinesque),268,SAAM-1970.355.606_1,0.946205,Western Hemlock (Tsuga heterophylla),1923,"lower left in watercolor: M. V. W./Glacier House/31  9.1.1923.
lower right: 268 (written upside-down)",Match
42669223,Western Larch,Larix occidentalis,269,SAAM-1970.355.607_2,0.9650438,Western Larch (Larix occidentalis),1923,lower right in watercolor: M. V. W./Horse Thief Canon 21/8.12.1923-,Match
42669225,Douglas-fir,Pseudotsuga menziesii (Rafinesque),270,SAAM-1970.355.608_1,0.96332455,Douglas Fir (Pseudotsuga mucronata),1923,"lower left in watercolor: M. V. W./Golden/28  9.3.1923.
upper left in pencil: 270",Match
42669227,Bunchberry (flower),Cornus canadensis,271,SAAM-1970.355.609_1,0.8910898,Bunchberry (Cornus canadensis),1902,"lower right in watercolor: Lake Louise/1902
lower right in pencil: 3",Match
42669229,Bunchberry (fruit),Cornus canadensis,272,SAAM-1970.355.610_1,0.89664,Bunchberry (Cornus canadensis),1916,lower left in watercolor: Hector/9.8.1916,Match
42669231,Woodnymph,Moneses uniflora (Linnaeus),273,SAAM-1970.355.611_1,0.90419346,Wood Nymph (Moneses uniflora),1925,"lower left in watercolor: M. V. W./Baker Lake/7-1925.
back lower right in pencil: 4",Match
42669233,Alberta Primrose,Primula mistassinica,274,SAAM-1970.355.612_1,0.8814024,Alberta Primrose (Primula maccalliana),1917,"lower left in watercolor: Hector/7.12.1917.
back lower left in pencil: 2",Match
42669235,Mourning Groundsel,Senecio lugens,275,SAAM-1970.355.613_1,0.9498058,Mourning Groundsel (Senecio lugens),1921,lower left in watercolor: M. V. W./Upper Pipestone/15  8.21.1921.,Match
42669237,Slender Shootingstar,Dodecatheon pauciflorum (Durand),276,SAAM-1970.355.614_1,0.7940601,Slender Shootingstar (Dodecatheon pauciflorum),1909,lower left in watercolor: Lake Louise/7.1909,Not Match
42669239,Snow Willow,Salix nivalis,277,SAAM-1970.355.615_1,0.83499444,Snow Willow (Salix nivalis),1918,lower left in watercolor: Bour Lake/8.15.1918.,Match
42669241,Gray Phacelia,Phacelia sericea (Graham),278,SAAM-1970.355.616_1,0.9042895,Gray Phacelia (Phacelia sericea),1911,lower left in watercolor: Glacier/8.7.1911,Match
42669243,Nodding Campion,Lychnis apetala,279,SAAM-1970.355.617_1,0.82639,Nodding Campion (Lychnis apetala),1905,"lower left in watercolor: McArthur's Lake/7.26.1905.
back center in pencil: Sychnis affinis",Match
42669245,Golden Fleabane,Erigeron aureus,280,SAAM-1970.355.133_2,0.8578781,Golden Fleabane (Erigeron aureus),1904,lower left in watercolor: Saddle Back/Lake Louise 8.27.1904,Match
42669247,Golden Sedge,Carex aurea,281,SAAM-1970.355.618_1,0.9399246,Golden Sedge (Carex aurea),1921,lower left in watercolor: M. V. W./Siffleur Valley/18  8.25.1921,Match
42669249,Alpine Pointvetch (flower),Oxytropis podocarpa,282,SAAM-1970.355.619_1,0.8112344,Alpine Pointvetch (Oxytropis podocarpa),1916,"lower left in watercolor: Wonder Pass/Mt Assiniboine/7.25.1916
back center in pencil: Physostegia (all rock garden stuff",Match
42669251,Alpine Pointvetch (fruit),Oxytropis podocarpa,283,SAAM-1970.355.620_1,0.78637064,Alpine Pointvetch (Oxytropis podocarpa),1918,lower right in watercolor: Bow Lake/8.16.1918,Not Match
42669253,Rocky Mountain Kalmia,Kalmia microphylla (Hooker),284,SAAM-1970.355.621_1,0.8922539,Rocky Mountain Kalmia (Kalmia microphylla),n.d.,"lower left in watercolor: Avalance Crest
upper right in pencil: TOP(barely legible)/284
back center in pencil: Kalmia Glauca",Match
42669255,Sidebells Pyrola,Pyrola secunda,285,SAAM-1970.355.622_1,0.9381518,Sidebells Pyrola (Pyrola secunda),1916,"lower left in watercolor: Paradise Valley/8.18.1916.
upper right in pencil: top 285  (barely legible)",Match
42669257,Pink Pussytoes,Antennaria rosea var.,286,SAAM-1970.355.623_1,0.9333502,Pink Pussytoes (Antennaria rosea),1916,lower left in watercolor: Lake Agnes/8.22.1916.,Match
42669259,Elkship,Caltha leptosepala De Candolle,287,SAAM-1970.355.624_1,0.94910944,Elkslip (Caltha leptosepala),1916,lower right in watercolor: Mt. Assiniboine/7.24.1916.,Match
42669261,Rock Wormwood,Artemisia discolor,288,SAAM-1970.355.625_1,0.9149265,Rock Wormwood (Artemisia discolor),1917,lower left in watercolor: Burgess Pass/8.16.1917.,Match
42669263,Pearl Everlasting,Anaphalis margaritacea (Linnaeus),289,SAAM-1970.355.626_1,0.9285334,Pearl Everlasting (Anaphalis margaritacea),1917,lower left in watercolor: Moose Creek/9.26.1917,Match
42669265,Alaska Fleabane,Erigeron salsuginosus (Richardson),290,SAAM-1970.355.627_1,0.9041207,Alaska Fleabane (Erigeron salsuginosus),1925,lower left in watercolor: M. V. W./Tilted Mtn Camp./11  7.22.1925,Match
42669267,Globe Anemone,Anemone globosa,291,SAAM-1970.355.628_1,0.93692356,Globe Anemone (Anemone globosa),1917,lower left in watercolor: Mt. Massive/7.11.1917.,Match
42669269,Shortspur Columbine,Aquilegia brevistyla,292,SAAM-1970.355.629_1,0.9429953,Shortspur Columbine (Aquilegia brevistyla),1907,"lower right in watercolor: M. V. W.
lower left in pencil: (illegible)/1907(barely legible)",Match
42669271,Red Dewberry,Rubus pedatus,293,SAAM-1970.355.630_1,0.9247983,Red Dewberry (Rubus pedatus),1918,lower left in watercolor: Evelyn Glacier/9.10.1918.,Match
42669273,Ladder Gentian,Gentiana acuta,294,SAAM-1970.355.631_1,0.8818538,Ladder Gentian (Gentiana acuta),1916,lower left in watercolor: Hector/8.25.1916.,Match
42669275,Alpine Milkvetch,Astragalus alpinus,295,SAAM-1970.355.632_1,0.9504622,Alpine Milkvetch (Astragalus alpinus),1921,"lower right in watercolor: M. V. W./Badger Camp/8.19.1921
lower left in watercolor: 8",Match
42669277,Grayleaf Fivefinger,Potentilla glaucophylla,296,SAAM-1970.355.633_1,0.9244245,Grayleaf Fivefinger (Potentilla glaucophylla),1905,"lower left in watercolor: Lake O'Hara/8.15.1905.
back center in pencil: potentilla",Match
42669279,Goldenpea,Thermopsis rhombifolia,297,SAAM-1970.355.634_2,0.92614806,Goldenpea (Thermopsis rhombifolia),1923,lower left in watercolor: M. V. W./Medicine Hat/1 6.3.1923.,Match
42669281,Western Menziesia,Menziesia glabella,298,SAAM-1970.355.635_1,0.9195575,Western Menziesia (Menziesia glabella),1924,lower left in watercolor: M. V. W./Volto/6  7.19.1924,Match
42669283,Giant Trillium,Trillium chloropetalum,299,SAAM-1970.355.636_2,0.946136,Giant Trillium (Trillium chloropetalum),1921,lower left in watercolor: M. V. W./Boston/5.6.1921.,Match
42669285,Yellow Willow-weed,Epilobium luteum,300,SAAM-1970.355.637_1,0.87422484,Yellow Willow-Weed (Epilobium lutem),1906,lower right in watercolor: Glacier/7.1906,Match
42669287,Fireweed,Epilobium angustifolium,301,SAAM-1970.355.638_2,0.90293497,Fireweed (Epilobium angustifolium),1922,lower left in watercolor: M. V. W./Red Deer Camp/11  8.12.1922.,Match
42669289,Beargrass,Xerophyllum tenax,302,SAAM-1970.355.639_2,0.9315363,Beargrass (Xerophyllum tenax),1924,lower left in watercolor: M. V. W./Reynier Park/6.29.1924.,Match
42669291,Pink Centaurium,Centaurium venustum,303,SAAM-1970.355.640_1,0.8884213,Pink Centaurium (Centaurium venustum),1925,lower left in watercolor: M. V. W./Torrey Pines/6.28.1925,Match
42669293,Nodding Onion,Allium cernuum,304,SAAM-1970.355.641_1,0.9136377,Nodding Onion (Allium cernuum),1901,"lower right in watercolor: 8. 12. 1901.
lower left in watercolor: Camp Sodalite/Ice River Valley",Match
42669295,Rocky Mountain Rhododendron,Rhododendron albiflorum,305,SAAM-1970.355.642_1,0.94236434,Rocky Mountain Rhododendron (Rhododendron albiflorum),1901,"lower left in watercolor: Glacier/1901
back lower center in pencil: Rhododendron albiflorum",Match
42669297,Forest Anemone,Anemone deltoidea,306,SAAM-1970.355.643_1,0.95313,Forest Anemone (Anemone deltoidea),1925,lower left in watercolor: M. V. W./Reynier Park/6.25.1925.,Match
42669299,Western Cranesbill,Geranium erianthum,307,SAAM-1970.355.644_2,0.91624147,Western Cranesbill (Geranium viscosissimum),1925,lower left in watercolor: M. V. W./Tilted Mtn Camp./7.28.1925.,Match
42669301,Green Strawberry-cactus,Echinocereus viridiflorus,308,SAAM-1970.355.645_1,0.92825866,Green Strawberry Cactus (Echinocereus viridiflorus),1925,lower left in watercolor: M. V. W./5.5.1925.,Match
42669303,Prairie Thistle,Cirsium undulatum,309,SAAM-1970.355.646_1,0.9668245,Prairie Thistle (Cirsium undulatum),1923,lower left in watercolor: M. V. W/Sinclair Cañon/11  7.5.(illegible)23.,Match
42669305,Lilac Mariposa,Calochortus splendens,310,SAAM-1970.355.647_1,0.92647195,Lilac Mariposa (Calochortus splendens),1926,lower left in watercolor: M. V. W./Los Angeles/4.25.1926.,Match
42669307,Orange-eye Globemallow,Sphaeralcea davidsonii,311,SAAM-1970.355.648_1,0.9038013,Orange-Eye Globemallow (Sphaeralcea davidsonii),1926,lower left in watercolor: M. V. W./Santa Anna Ranch/4.25-1926.,Match
42669309,Tassel Cottonsedge,Eriophorum angustifolium,312,SAAM-1970.355.649_2,0.8768831,Tassel Cottongrass (Eriophorum angustifolium),1920,lower left in watercolor: M. V. W./Pipestone Pass/8.20.1920./23,Match
42669311,Western Monkeyflower,Mimulus guttatus,313,SAAM-1970.355.711_1,0.69132143,Lewis Monkey Flower (Mimulus lewisii),1899,"lower right in watercolor: Glacier Trail/8/13 '99
lower right in pencil: 374 (barely legible)",Not Match
42669313,Goldenbowl Mariposa,Calochortus clavatus,314,SAAM-1970.355.651_2,0.9018731,Goldenbowl Mariposa (Calochortus claratus),1926,lower left in watercolor: M. V. W./5.21.'26,Match
42669315,Red Monkeyflower,Diplacus puniceus,315,SAAM-1970.355.652_1,0.8726522,Red Monkeyflower (Diplaucus puniceus),1920,lower left in watercolor: M. V. W./San Diego/3  4.14.20,Match
42669317,Columbia Lily,Lilium columbianum,316,SAAM-1970.355.653_1,0.88551635,Columbia Lily (Lilium columbianum),1925,lower left in watercolor: M. V. W./Regnier Park/6.29.1925,Match
42669319,Cranberrybush,Viburnum edule,317,SAAM-1970.355.654_2,0.9333824,Cranberrybush (Viburnum pauciflorum),1923,"lower right in watercolor: M. V. W./Vermilion Camp/8.25.1923.
lower left in watercolor: 26",Match
42669321,Ruff Gentian,Gentiana calycosa,318,SAAM-1970.355.327_2,0.7693494,Gentian (Gentiana affinis),1915,lower left in watercolor: Apollinaris Spring/8-29-1915-,Not Match
42669323,Menzies Penstemon,Penstemon menziesii,319,SAAM-1970.355.656_1,0.9290635,Menzies Pentstemon (Pentstemon menziesii),1925,"lower left in watercolor: M. V. W./Reynier Park/6.27.1925.
lower right in pencil: 319 (barely legible)",Match
42669325,Purple Prairiaclover,Petalostemon purpureum,320,SAAM-1970.355.657_1,0.9500403,Purple Prairieclover (Petalostemon purpureum),1927,lower left in watercolor: M. V. W./Glacier Park/8.18.1927.,Match
42669447,Flowering Dogwood (flower),Cornus florida,321,SAAM-1970.355.658_1,0.93793523,Flowering Dogwood (Cornus florida),1919,"lower right in watercolor: M. V. W./Washington/4.30.1919
lower right in pencil: 321",Match
42669449,Flowering Dogwood (fruit),Cornus florida,322,SAAM-1970.355.659_2,0.9274193,Flowering Dogwood (Cornus florida),1926,lower left in watercolor: M. V. W./Washington/11.1.1926,Match
42669451,Witch-hazel,Hamamelis virginiana,323,SAAM-1970.355.660_2,0.9158721,Witch Hazel (Hamamelis virginiana),1922,lower left in watercolor: M. V. W./11.23.1922.,Match
42669453,Maypop,Passiflora incarnata,324,SAAM-1970.355.661_2,0.93125105,Maypop (Passiflora incarnata),1926,lower left in watercolor: M. V. W./7.10.1926,Match
42669455,Sweetbay,Magnolia virginiana,325,SAAM-1970.355.662_2,0.9141412,Sweetbay (Magnolia virginiana),1927,lower left in watercolor: M. V. W./6.8.1927,Match
42669457,Lambkill,Kalmia angustifolia,326,SAAM-1970.355.663_1,0.9106624,Lambkill (Kalmia angustifolia),1918,lower left in watercolor: Washington/5.16.1918.,Match
42669459,Pink Ladyslipper,Cypripedium acaule,327,SAAM-1970.355.430_2,0.86349785,Small Yellow Ladyslipper (Cypripedium parviflorum),1917,"lower right in watercolor: Washington/6.5.1917
back upper right in ink: 4",Match
42669461,Papaw,Asimina triloba,328,SAAM-1970.355.665_1,0.86293554,Papaw (Asimina triloba),1918,lower right in watercolor: Plummer's Island/5.1.1918.,Match
42669463,Drummond Pitcherplant,Sarracenia drummondii,329,SAAM-1970.355.666_2,0.92112243,Drummond Pitcherplant (Sarracenia drummondii),1921,lower right in watercolor: M. V. W./4.19.'21,Match
42669465,Yellow Cucumbertree,Magnolia cordata,330,SAAM-1970.355.667_1,0.86539555,Yellow Cucumbertree (Magnolia cordata),1922,"lower left in watercolor: M. V. W./4.29.1922/4
back lower center in pencil: top (written  upside down)",Match
42669467,Jack-in-the-pulpit,Arisaema triphyllum,331,SAAM-1970.355.668_1,0.95066375,Jack-in-the-pulpit (Arisaema triphyllum),1917,lower left in watercolor: Washington/1917,Match
42669469,Blueflag Iris,Iris versicolor,332,SAAM-1970.355.669_2,0.9543276,Blueflag Iris (Iris versicolor),1919,"lower left in watercolor: M. V. W./Washington/5.28.1919.
back center in pencil: 332 (in a circle)",Match
42669471,Virginia Stewartia,Stewartia malacodendron,333,SAAM-1970.355.670_2,0.9273746,Virginia Stewartia (Stewartia malachodendron),1925,"lower left in watercolor: M. V. W./5.8.1925
back lower center in pencil: 333/Stuartia",Match
42669473,Wax Trillium,Trillium albidum,334,SAAM-1970.355.671_1,0.9621917,Wax Trillium (Trillium album),1921,"lower left in watercolor: M. V. W./5.8.1921
back lower center in pencil: 334",Match
42669475,Loblolly Pine,Pinus taeda,335,SAAM-1970.355.672_2,0.9396043,Loblolly Pine (Pinus taeda),1918,"lower right in watercolor: Beaufort S. C./3.13.1918.
back lower right in pencil: 335 (underlined)",Match
42669477,Fringed Gentian,Gentiana crinita,336,SAAM-1970.355.673_2,0.94679844,Fringed Gentian (Gentiana crinita),1905,"lower right in watercolor: Mount Kisco 9/24 05
back center in pencil: 336 (in a circle)",Match
42669479,White Epidenrum,Epiderdrum nocturnum,337,SAAM-1970.355.674_2,0.8901029,White Epidendrum (Epidendrum nocturnum),1919,"lower left in watercolor: M. V. W./12.1919.
back lower center in pencil: epidendrum nocturnum",Match
42669481,Bluebead,Clintonia borealis,338,SAAM-1970.355.675_1,0.9443733,Blue Bead (Clintonia borealis),1924,"lower right in watercolor: M. V. W./5.5.1924
lower left in watercolor: 2
back upper left: 338 (upside down and underlined)",Match
42669483,Yellow Troutlily,Erythronium americanum,339,SAAM-1970.355.409_2,0.8331679,Glacierlily (Erythronium grandiflorum),1899,"lower left in watercolor: M. M. V./Glacier/8/9 '99
lower right in watercolor: Mt. Avalanche",Match
42669485,Yellow Fringedorchid,Habenaria ciliaris,340,SAAM-1970.355.677_1,0.85268486,Yellow Fringe Orchid (Habenaria ciliaris),1926,lower left in watercolor: M. V. W./Saugatuck/9.1.1926,Match
42669487,Whiteflowering Raspberry,Rubus parviflorus,341,SAAM-1970.355.678_1,0.9391595,White Flowering Raspberry (Rubus parviflorus),1905,lower left in watercolor: Glacier/7.29.1905,Match
42669489,Saltmarsh Roserigentia,Sabatia stellaris,342,SAAM-1970.355.679_2,0.931007,Saltmarsh Rosegentian (Sabbatia stellaris),1926,"lower left in watercolor: M. V. W./Spring Lake/10.8.1926.
back center in pencil: #342 (in a circle)",Match
42669491,Fringed Parnassia,Parnassia fimbriata,343,SAAM-1970.355.680_1,0.87079775,Fringed Parnassia (Parnassia fimbriata),1905,lower left in watercolor: Lake O'hara/8.15.1905.,Match
42669493,Bourgeau Rose (flower),Rosa bourgeauiana,344,SAAM-1970.355.681_1,0.91684484,Bourgeau Rose (Rosa bourgeauiana),1920,"lower right in watercolor: M.V.W./Lake Minewanka/7.19.1920  11
back lower center in pencil: 344",Match
42669495,Bourgeau Rose (fruit),Rosa bourgeauiana,345,SAAM-1970.355.682_2,0.9309236,Bourgeau Rose (Rosa bourgeauiana),1923,lower left in watercolor: M. V. W./Radium Hot Springs/27  8.29.1923-,Match
42669497,Purple Penstemon,Penstemon lyallii,346,SAAM-1970.355.683_2,0.9285364,Purple Pentstemon (Pentstemon lyallii),1923,lower left in watercolor: M. V. W./Sinclair Canon/5  6.17.1923.,Match
42669499,Canada Violet,Viola canadensis,347,SAAM-1970.355.684_1,0.88715786,Canada Violet (Viola canadensis),1903,"lower left in watercolor: Lake Louise/8.22.1903
lower right in pencil: 347 (barely legible)
back lower center in pencil: viola canadensis",Match
